frame_id,drone_lat,drone_lon,altitude,person_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,est_lat,est_lon,conf
240,50.294311,18.673259,15.0,1,918,847,1006,920,50.294272,18.673259,0.8378
241,50.294311,18.673259,15.0,1,920,849,1012,922,50.294272,18.67326,0.8222
242,50.294311,18.673259,15.0,1,924,853,1014,925,50.294271,18.673261,0.8156
243,50.294311,18.673259,15.0,1,926,857,1020,930,50.294271,18.673261,0.7647
244,50.294311,18.673259,15.0,1,928,859,1018,933,50.294271,18.673261,0.8214
245,50.294311,18.673259,15.0,1,930,861,1020,936,50.29427,18.673262,0.8399
246,50.294311,18.673259,15.0,1,932,865,1022,940,50.29427,18.673262,0.8427
247,50.294311,18.673259,15.0,1,934,869,1024,942,50.294269,18.673262,0.8266
248,50.294311,18.673259,15.0,1,936,873,1026,946,50.294269,18.673263,0.8034
249,50.294311,18.673259,15.0,1,938,876,1028,948,50.294269,18.673263,0.8194
250,50.294311,18.673259,15.0,1,942,878,1030,952,50.294268,18.673263,0.845
251,50.294311,18.673259,15.0,1,946,880,1030,956,50.294268,18.673264,0.8508
252,50.294311,18.673259,15.0,1,946,885,1036,958,50.294268,18.673264,0.8594
253,50.294311,18.673259,15.0,1,950,887,1036,961,50.294267,18.673265,0.8388
254,50.294311,18.673259,15.0,1,952,889,1036,965,50.294267,18.673265,0.8205
255,50.294311,18.673259,15.0,1,954,892,1048,968,50.294267,18.673266,0.8027
256,50.294311,18.673259,15.0,1,958,897,1050,972,50.294266,18.673267,0.8285
257,50.294311,18.673259,15.0,1,960,900,1050,975,50.294266,18.673267,0.8363
258,50.294311,18.673259,15.0,1,962,903,1052,978,50.294265,18.673267,0.8468
259,50.294311,18.673259,15.0,1,964,906,1054,981,50.294265,18.673267,0.8208
260,50.294311,18.673259,15.0,1,968,909,1058,985,50.294265,18.673268,0.7989
261,50.294311,18.673259,15.0,1,970,912,1060,988,50.294264,18.673268,0.8126
262,50.294311,18.673259,15.0,1,972,914,1064,992,50.294264,18.673269,0.8672
263,50.294311,18.673259,15.0,1,976,919,1064,994,50.294264,18.673269,0.8396
264,50.294311,18.673259,15.0,1,978,922,1066,996,50.294263,18.67327,0.8579
265,50.294311,18.673259,15.0,1,982,925,1068,1000,50.294263,18.67327,0.8379
266,50.294311,18.673259,15.0,1,986,928,1074,1002,50.294263,18.673271,0.813
267,50.294311,18.673259,15.0,1,990,930,1076,1005,50.294262,18.673272,0.8144
268,50.294311,18.673259,15.0,1,990,933,1080,1009,50.294262,18.673272,0.8337
269,50.294311,18.673259,15.0,1,994,936,1082,1012,50.294262,18.673272,0.8333
